Rider,	Split1,	Split2,	Split3,	Split4,	Speed,	Lap,	Time,	
77,	5402,	36141,	36731,	40013,	226.9,	158287,	93848647,	
77,	5312,	33967,	35206,	38143,	230.3,	152628,	94041275,	
77,	5164,	31401,	30503,	37347,	233.8,	144415,	94225690,	
77,	5161,	31996,	32070,	42636,	234.8,	151863,	94417553,	
77,	5175,	30964,	30388,	37153,	233.8,	143680,	94601233,	
77,	5179,	30682,	32560,	41768,	233.8,	150189,	94751422,	
77,	5182,	30862,	30366,	42040,	233.8,	148450,	94939872,	
77,	5111,	30935,	30348,	37123,	236.8,	143517,	95123389,	
77,	5112,	30895,	30598,	42131,	236.8,	148736,	95312125,	
85,	12349,	42255,	38324,	40746,	126.8,	213674,	93821646,	
85,	5300,	34908,	34836,	38491,	230.3,	153535,	94015181,	
85,	5254,	33368,	33501,	43966,	231.3,	156089,	94211270,	
85,	5149,	30706,	30230,	37090,	235.3,	143175,	94354445,	
85,	5149,	30531,	30013,	36930,	233.8,	142623,	94537068,	
85,	5148,	35510,	36516,	42466,	234.8,	159640,	94736708,	
85,	5136,	30500,	34597,	41351,	235.8,	151584,	94928292,	
85,	5101,	30613,	30122,	36992,	238.4,	142828,	95111120,	
85,	5072,	34247,	35074,	40049,	239.5,	154442,	95305562,	
89,	11777,	44293,	41941,	43864,	158.8,	221875,	93547287,	
89,	5532,	36108,	35525,	40933,	221.3,	158098,	93745385,	
89,	5525,	33613,	34432,	39261,	219.5,	152831,	93938216,	
89,	5540,	32704,	31726,	38238,	215.6,	148208,	94126424,	
89,	5182,	31512,	31133,	44863,	233.8,	152690,	94319114,	
89,	5174,	31598,	31204,	38088,	234.8,	146064,	94505178,	
89,	5170,	31491,	31294,	38032,	233.8,	145987,	94651165,	
89,	5181,	36641,	38851,	59655,	234.8,	220328,	94911493,	
89,	5173,	31629,	30877,	38008,	232.8,	145687,	95057180,	
89,	5233,	31322,	30816,	37770,	231.8,	145141,	95242321,	
89,	5202,	31270,	30466,	37755,	233.8,	144693,	95427014,	
91,	12417,	42136,	40177,	39738,	123.9,	214468,	93936995,	
91,	5269,	35036,	32073,	37800,	230.8,	150178,	94127173,	
91,	5238,	32789,	31874,	51443,	230.8,	201344,	94328517,	
91,	5165,	30927,	30472,	40394,	234.8,	146958,	94515475,	
91,	5133,	31062,	30911,	37244,	235.8,	144350,	94659825,	
91,	5173,	31047,	32034,	39646,	234.8,	147900,	94847725,	
91,	5128,	30960,	30508,	37202,	236.8,	143798,	95031523,	
91,	5060,	31111,	35115,	41133,	240,	152419,	95223942,	
91,	5134,	31110,	30289,	37183,	237.4,	143716,	95407658,	
96,	14062,	45639,	40342,	44309,	107.2,	224352,	93647000,	
96,	5405,	36518,	34845,	40161,	226.9,	156929,	93843929,	
96,	5193,	33424,	33506,	39784,	233.8,	151907,	94035836,	
96,	5171,	31142,	30633,	41499,	235.3,	148445,	94224281,	
96,	5154,	31076,	32702,	41809,	236.3,	150741,	94415022,	
96,	5152,	30895,	30347,	37250,	234.3,	143644,	94558666,	
96,	5156,	30789,	33624,	41805,	236.3,	151374,	94750040,	
96,	5172,	30760,	30401,	42611,	234.8,	148944,	94938984,	
96,	5137,	30747,	30385,	37392,	235.3,	143661,	95122645,	
96,	5155,	30838,	30958,	113321,	234.3,	220272,	95342917,	
97,	11982,	42539,	38766,	42120,	134.2,	215407,	93904649,	
97,	5356,	34971,	35617,	43093,	228.8,	159037,	94103686,	
97,	5204,	33421,	38316,	54045,	233.8,	210986,	94314672,	
97,	5196,	31334,	30726,	37331,	232.8,	144587,	94459259,	
97,	5189,	30931,	30702,	42612,	234.3,	149434,	94648693,	
97,	5734,	36599,	37794,	44578,	200.4,	204705,	94853398,	
97,	5208,	30997,	30218,	37064,	232.3,	143487,	95036885,	
97,	5218,	35903,	36047,	41810,	220,	158978,	95235863,	
97,	5191,	30854,	30210,	37229,	232.8,	143484,	95419347,	
99,	12060,	43170,	40768,	41928,	130.3,	217926,	93843649,	
99,	5861,	37164,	37247,	40656,	205.7,	200928,	94044577,	
99,	5270,	32491,	32356,	37397,	229.3,	147514,	94232091,	
99,	5150,	30948,	30446,	36956,	234.8,	143500,	94415591,	
99,	5048,	34758,	36435,	38054,	240.5,	154295,	94609886,	
99,	5124,	30691,	30366,	37165,	236.8,	143346,	94753232,	
99,	5156,	33089,	33685,	37438,	234.8,	149368,	94942600,	
99,	5091,	30923,	30483,	37627,	237.9,	144124,	95126724,	
99,	5118,	34375,	35904,	105980,	235.3,	221377,	95348101,	
